1,1,2,系统消息,2024-10-01 14:31:00.000,已接收
2,1,4,短信,2024-10-01 14:32:00.000,已发送
3,2,3,系统消息,2024-10-02 09:16:00.000,已接收
4,3,2,短信,2024-10-03 11:21:00.000,失败
5,3,4,系统消息,2024-10-03 11:22:00.000,已接收
6,4,2,系统消息,2024-10-04 08:46:00.000,已接收
7,4,4,邮件,2024-10-04 08:47:00.000,已接收
8,5,3,系统消息,2024-10-05 13:11:00.000,已接收
9,6,3,系统消息,2024-10-06 10:31:00.000,已接收
10,7,4,短信,2024-10-07 15:46:00.000,已接收
11,7,1,系统消息,2024-10-07 15:47:00.000,已接收
12,8,2,系统消息,2024-10-08 07:21:00.000,已接收
13,9,2,系统消息,2024-10-09 12:31:00.000,已接收
14,10,3,系统消息,2024-10-10 09:01:00.000,已接收
15,11,3,系统消息,2024-10-11 14:16:00.000,已接收
16,12,4,短信,2024-10-12 11:41:00.000,失败
17,12,4,系统消息,2024-10-12 11:42:00.000,已接收
18,13,2,系统消息,2024-10-13 08:31:00.000,已接收
19,14,2,系统消息,2024-10-14 16:26:00.000,已接收
20,15,3,系统消息,2024-10-15 10:11:00.000,已接收
21,22,1,系统消息,2025-12-19 15:34:35.850,已发送
22,23,2,系统消息,2025-12-19 15:34:35.853,已发送
