1,火灾,温度 >= 40,严重,1,1,2025-12-19 14:18:48.373
2,旱情,连续15天无降水,一般,1,1,2025-12-19 14:18:48.373
3,病虫害,虫口密度 >= 50,较重,1,1,2025-12-19 14:18:48.373
4,火灾,温度 >= 45,特别严重,1,1,2025-12-19 14:18:48.373
5,旱情,土壤湿度 <= 10%,严重,1,1,2025-12-19 14:18:48.373
6,病虫害,发现松材线虫,特别严重,1,1,2025-12-19 14:18:48.373
7,其他,人为破坏迹象,一般,1,1,2025-12-19 14:18:48.373
8,火灾,温度 >= 35,严重,1,1,2025-12-19 14:18:48.373
9,旱情,连续30天无降水,严重,0,1,2025-12-19 14:18:48.373
10,病虫害,叶片病斑面积 >= 30%,较重,1,1,2025-12-19 14:18:48.373
11,火灾,红外监测火点,特别严重,1,1,2025-12-19 14:18:48.373
12,旱情,水库水位 <= 警戒线,较重,1,1,2025-12-19 14:18:48.373
13,病虫害,蚜虫密度 >= 100,一般,1,1,2025-12-19 14:18:48.373
14,其他,发现非法砍伐,严重,1,1,2025-12-19 14:18:48.373
15,火灾,温度 >= 42,特别严重,1,1,2025-12-19 14:18:48.373
16,旱情,蒸发量过大,较重,1,1,2025-12-19 14:18:48.373
17,病虫害,美国白蛾幼虫,严重,1,1,2025-12-19 14:18:48.373
18,其他,地质灾害预警,严重,1,1,2025-12-19 14:18:48.373
19,火灾,可燃物载量超标,较重,1,1,2025-12-19 14:18:48.373
20,其他,野生动物异常,一般,1,1,2025-12-19 14:18:48.373
